Train | Epoch: 0 | Loss: 3.899 | Acc: 9.892
Test | Epoch: 0 | Loss: 3.555 | Acc: 15.040
Train | Epoch: 1 | Loss: 3.227 | Acc: 20.946
Test | Epoch: 1 | Loss: 2.861 | Acc: 27.730
Train | Epoch: 2 | Loss: 2.704 | Acc: 30.778
Test | Epoch: 2 | Loss: 2.462 | Acc: 35.890
Train | Epoch: 3 | Loss: 2.328 | Acc: 38.438
Test | Epoch: 3 | Loss: 2.086 | Acc: 43.970
Train | Epoch: 4 | Loss: 2.074 | Acc: 44.158
Test | Epoch: 4 | Loss: 1.971 | Acc: 46.880
Train | Epoch: 5 | Loss: 1.878 | Acc: 48.572
Test | Epoch: 5 | Loss: 1.913 | Acc: 49.230
Train | Epoch: 6 | Loss: 1.730 | Acc: 52.080
Test | Epoch: 6 | Loss: 1.645 | Acc: 54.740
Train | Epoch: 7 | Loss: 1.612 | Acc: 54.798
Test | Epoch: 7 | Loss: 1.574 | Acc: 56.480
Train | Epoch: 8 | Loss: 1.500 | Acc: 57.654
Test | Epoch: 8 | Loss: 1.509 | Acc: 58.220
Train | Epoch: 9 | Loss: 1.400 | Acc: 60.250
Test | Epoch: 9 | Loss: 1.462 | Acc: 59.450
Train | Epoch: 10 | Loss: 1.317 | Acc: 62.444
Test | Epoch: 10 | Loss: 1.470 | Acc: 60.130
Train | Epoch: 11 | Loss: 1.228 | Acc: 64.524
Test | Epoch: 11 | Loss: 1.429 | Acc: 60.790
Train | Epoch: 12 | Loss: 1.159 | Acc: 66.282
Test | Epoch: 12 | Loss: 1.415 | Acc: 61.660
Train | Epoch: 13 | Loss: 1.088 | Acc: 68.062
Test | Epoch: 13 | Loss: 1.342 | Acc: 63.600
Train | Epoch: 14 | Loss: 1.015 | Acc: 69.924
Test | Epoch: 14 | Loss: 1.347 | Acc: 64.060
Train | Epoch: 15 | Loss: 0.956 | Acc: 71.622
Test | Epoch: 15 | Loss: 1.376 | Acc: 63.310
Train | Epoch: 16 | Loss: 0.905 | Acc: 72.844
Test | Epoch: 16 | Loss: 1.357 | Acc: 64.880
Train | Epoch: 17 | Loss: 0.844 | Acc: 74.580
Test | Epoch: 17 | Loss: 1.378 | Acc: 64.520
Train | Epoch: 18 | Loss: 0.790 | Acc: 76.104
Test | Epoch: 18 | Loss: 1.414 | Acc: 65.000
Train | Epoch: 19 | Loss: 0.745 | Acc: 77.302
Test | Epoch: 19 | Loss: 1.403 | Acc: 65.260
Train | Epoch: 20 | Loss: 0.698 | Acc: 78.862
Test | Epoch: 20 | Loss: 1.394 | Acc: 66.110
Train | Epoch: 21 | Loss: 0.654 | Acc: 79.778
Test | Epoch: 21 | Loss: 1.388 | Acc: 66.150
Train | Epoch: 22 | Loss: 0.616 | Acc: 80.978
Test | Epoch: 22 | Loss: 1.430 | Acc: 66.500
Train | Epoch: 23 | Loss: 0.578 | Acc: 82.224
Test | Epoch: 23 | Loss: 1.472 | Acc: 66.060
Train | Epoch: 24 | Loss: 0.534 | Acc: 83.558
