Train | Epoch: 0 | Loss: 4.967 | Acc: 2.914
Test | Epoch: 0 | Loss: 4.665 | Acc: 5.043
Train | Epoch: 1 | Loss: 4.234 | Acc: 10.174
Test | Epoch: 1 | Loss: 3.849 | Acc: 14.999
Train | Epoch: 2 | Loss: 3.674 | Acc: 18.318
Test | Epoch: 2 | Loss: 3.526 | Acc: 20.935
Train | Epoch: 3 | Loss: 3.290 | Acc: 25.134
Test | Epoch: 3 | Loss: 3.106 | Acc: 28.237
Train | Epoch: 4 | Loss: 2.992 | Acc: 30.591
Test | Epoch: 4 | Loss: 2.964 | Acc: 31.652
Train | Epoch: 5 | Loss: 2.759 | Acc: 35.078
Test | Epoch: 5 | Loss: 2.843 | Acc: 34.069
Train | Epoch: 6 | Loss: 2.592 | Acc: 38.294
Test | Epoch: 6 | Loss: 2.698 | Acc: 36.354
Train | Epoch: 7 | Loss: 2.401 | Acc: 42.080
Test | Epoch: 7 | Loss: 2.485 | Acc: 41.240
Train | Epoch: 8 | Loss: 2.251 | Acc: 45.093
Test | Epoch: 8 | Loss: 2.501 | Acc: 42.579
Train | Epoch: 9 | Loss: 2.153 | Acc: 47.138
Test | Epoch: 9 | Loss: 3.821 | Acc: 42.763
Train | Epoch: 10 | Loss: 2.086 | Acc: 48.434
Test | Epoch: 10 | Loss: 2.454 | Acc: 43.262
Train | Epoch: 11 | Loss: 2.036 | Acc: 49.437
Test | Epoch: 11 | Loss: 4.290 | Acc: 45.469
Train | Epoch: 12 | Loss: 1.923 | Acc: 51.749
Test | Epoch: 12 | Loss: 2.373 | Acc: 45.154
Train | Epoch: 13 | Loss: 1.742 | Acc: 55.753
Test | Epoch: 13 | Loss: 4.417 | Acc: 47.203
Train | Epoch: 14 | Loss: 1.632 | Acc: 57.902
Test | Epoch: 14 | Loss: 2.252 | Acc: 49.356
Train | Epoch: 15 | Loss: 1.487 | Acc: 61.016
Test | Epoch: 15 | Loss: 2.322 | Acc: 48.122
Train | Epoch: 16 | Loss: 1.469 | Acc: 61.259
Test | Epoch: 16 | Loss: 6.123 | Acc: 46.441
Train | Epoch: 17 | Loss: 1.411 | Acc: 62.709
Test | Epoch: 17 | Loss: 5.724 | Acc: 47.912
Train | Epoch: 18 | Loss: 1.296 | Acc: 65.020
Test | Epoch: 18 | Loss: 3.388 | Acc: 48.857
Train | Epoch: 19 | Loss: 1.229 | Acc: 66.737
Test | Epoch: 19 | Loss: 3.407 | Acc: 48.306
Train | Epoch: 20 | Loss: 1.238 | Acc: 66.096
Test | Epoch: 20 | Loss: 2.676 | Acc: 47.124
Train | Epoch: 21 | Loss: 1.062 | Acc: 70.395
Test | Epoch: 21 | Loss: 2.702 | Acc: 48.542
Train | Epoch: 22 | Loss: 0.928 | Acc: 73.777
Test | Epoch: 22 | Loss: 3.204 | Acc: 47.570
Train | Epoch: 23 | Loss: 0.898 | Acc: 74.337
Test | Epoch: 23 | Loss: 6.979 | Acc: 44.996
Train | Epoch: 24 | Loss: 0.759 | Acc: 78.008
Test | Epoch: 24 | Loss: 2.734 | Acc: 49.514
Train | Epoch: 25 | Loss: 0.663 | Acc: 80.504
Test | Epoch: 25 | Loss: 4.093 | Acc: 46.887
Train | Epoch: 26 | Loss: 0.748 | Acc: 78.105
Test | Epoch: 26 | Loss: 2.853 | Acc: 48.411
Train | Epoch: 27 | Loss: 0.556 | Acc: 83.324
Test | Epoch: 27 | Loss: 3.055 | Acc: 47.859
Train | Epoch: 28 | Loss: 0.490 | Acc: 85.253
Test | Epoch: 28 | Loss: 3.094 | Acc: 48.122
Train | Epoch: 29 | Loss: 0.460 | Acc: 86.022
Test | Epoch: 29 | Loss: 10.357 | Acc: 36.380
Train | Epoch: 30 | Loss: 0.479 | Acc: 85.422
Test | Epoch: 30 | Loss: 3.216 | Acc: 47.833
Train | Epoch: 31 | Loss: 0.364 | Acc: 88.832
Test | Epoch: 31 | Loss: 4.367 | Acc: 44.707
Train | Epoch: 32 | Loss: 0.357 | Acc: 89.057
Test | Epoch: 32 | Loss: 3.715 | Acc: 47.386
Train | Epoch: 33 | Loss: 0.411 | Acc: 87.311
Test | Epoch: 33 | Loss: 3.288 | Acc: 48.043
Train | Epoch: 34 | Loss: 0.330 | Acc: 89.862
Test | Epoch: 34 | Loss: 3.390 | Acc: 47.885
Train | Epoch: 35 | Loss: 0.297 | Acc: 90.923
Test | Epoch: 35 | Loss: 3.469 | Acc: 48.936
Train | Epoch: 36 | Loss: 0.261 | Acc: 91.970
Test | Epoch: 36 | Loss: 3.674 | Acc: 47.255
Train | Epoch: 37 | Loss: 0.260 | Acc: 91.954
Test | Epoch: 37 | Loss: 3.633 | Acc: 47.623
Train | Epoch: 38 | Loss: 0.242 | Acc: 92.506
Test | Epoch: 38 | Loss: 3.715 | Acc: 47.728
Train | Epoch: 39 | Loss: 0.219 | Acc: 93.069
Test | Epoch: 39 | Loss: 3.713 | Acc: 47.465
Train | Epoch: 40 | Loss: 0.214 | Acc: 93.308
Test | Epoch: 40 | Loss: 3.725 | Acc: 46.914
Train | Epoch: 41 | Loss: 0.201 | Acc: 93.714
Test | Epoch: 41 | Loss: 3.888 | Acc: 47.465
Train | Epoch: 42 | Loss: 0.197 | Acc: 93.832
Test | Epoch: 42 | Loss: 3.823 | Acc: 47.413
Train | Epoch: 43 | Loss: 0.182 | Acc: 94.301
Test | Epoch: 43 | Loss: 3.832 | Acc: 48.122
Train | Epoch: 44 | Loss: 0.179 | Acc: 94.415
Test | Epoch: 44 | Loss: 3.861 | Acc: 46.861
Train | Epoch: 45 | Loss: 0.178 | Acc: 94.508
Test | Epoch: 45 | Loss: 3.976 | Acc: 47.150
Train | Epoch: 46 | Loss: 0.167 | Acc: 94.831
Test | Epoch: 46 | Loss: 3.863 | Acc: 48.463
Train | Epoch: 47 | Loss: 0.166 | Acc: 94.779
Test | Epoch: 47 | Loss: 4.055 | Acc: 47.465
Train | Epoch: 48 | Loss: 0.159 | Acc: 95.044
Test | Epoch: 48 | Loss: 3.942 | Acc: 47.780
Train | Epoch: 49 | Loss: 0.145 | Acc: 95.437
Test | Epoch: 49 | Loss: 3.988 | Acc: 48.647
Train | Epoch: 50 | Loss: 0.146 | Acc: 95.394
Test | Epoch: 50 | Loss: 4.114 | Acc: 48.122
Train | Epoch: 51 | Loss: 0.143 | Acc: 95.530
Test | Epoch: 51 | Loss: 4.220 | Acc: 48.017
Train | Epoch: 52 | Loss: 0.143 | Acc: 95.483
Test | Epoch: 52 | Loss: 4.124 | Acc: 48.279
Train | Epoch: 53 | Loss: 0.135 | Acc: 95.725
Test | Epoch: 53 | Loss: 4.107 | Acc: 48.385
Train | Epoch: 54 | Loss: 0.126 | Acc: 96.088
Test | Epoch: 54 | Loss: 4.149 | Acc: 48.647
Train | Epoch: 55 | Loss: 0.127 | Acc: 96.021
Test | Epoch: 55 | Loss: 4.183 | Acc: 47.702
Train | Epoch: 56 | Loss: 0.124 | Acc: 96.036
Test | Epoch: 56 | Loss: 4.150 | Acc: 47.780
Train | Epoch: 57 | Loss: 0.120 | Acc: 96.236
Test | Epoch: 57 | Loss: 4.220 | Acc: 48.542
Train | Epoch: 58 | Loss: 0.115 | Acc: 96.427
Test | Epoch: 58 | Loss: 4.203 | Acc: 48.253
Train | Epoch: 59 | Loss: 0.112 | Acc: 96.445
Test | Epoch: 59 | Loss: 4.185 | Acc: 47.807
Train | Epoch: 60 | Loss: 0.112 | Acc: 96.427
Test | Epoch: 60 | Loss: 4.316 | Acc: 48.358
Train | Epoch: 61 | Loss: 0.109 | Acc: 96.574
Test | Epoch: 61 | Loss: 4.353 | Acc: 47.702
Train | Epoch: 62 | Loss: 0.110 | Acc: 96.517
Test | Epoch: 62 | Loss: 4.481 | Acc: 47.097
Train | Epoch: 63 | Loss: 0.107 | Acc: 96.644
Test | Epoch: 63 | Loss: 4.288 | Acc: 48.043
Train | Epoch: 64 | Loss: 0.098 | Acc: 96.871
Test | Epoch: 64 | Loss: 4.305 | Acc: 48.174
Train | Epoch: 65 | Loss: 0.097 | Acc: 96.933
Test | Epoch: 65 | Loss: 4.332 | Acc: 48.490
Train | Epoch: 66 | Loss: 0.097 | Acc: 96.980
Test | Epoch: 66 | Loss: 4.309 | Acc: 48.174
Train | Epoch: 67 | Loss: 0.091 | Acc: 97.205
Test | Epoch: 67 | Loss: 4.411 | Acc: 49.199
Train | Epoch: 68 | Loss: 0.095 | Acc: 97.028
Test | Epoch: 68 | Loss: 4.554 | Acc: 47.150
Train | Epoch: 69 | Loss: 0.089 | Acc: 97.167
Test | Epoch: 69 | Loss: 4.493 | Acc: 48.358
Train | Epoch: 70 | Loss: 0.089 | Acc: 97.193
Test | Epoch: 70 | Loss: 4.583 | Acc: 47.570
Train | Epoch: 71 | Loss: 0.090 | Acc: 97.149
Test | Epoch: 71 | Loss: 4.568 | Acc: 48.069
Train | Epoch: 72 | Loss: 0.088 | Acc: 97.231
Test | Epoch: 72 | Loss: 4.446 | Acc: 48.332
Train | Epoch: 73 | Loss: 0.083 | Acc: 97.318
Test | Epoch: 73 | Loss: 4.570 | Acc: 47.308
Train | Epoch: 74 | Loss: 0.083 | Acc: 97.338
Test | Epoch: 74 | Loss: 4.525 | Acc: 48.385
Train | Epoch: 75 | Loss: 0.083 | Acc: 97.359
Test | Epoch: 75 | Loss: 4.508 | Acc: 48.201
Train | Epoch: 76 | Loss: 0.080 | Acc: 97.467
Test | Epoch: 76 | Loss: 4.706 | Acc: 47.439
Train | Epoch: 77 | Loss: 0.084 | Acc: 97.378
Test | Epoch: 77 | Loss: 12.524 | Acc: 46.283
Train | Epoch: 78 | Loss: 0.081 | Acc: 97.413
Test | Epoch: 78 | Loss: 4.778 | Acc: 48.595
Train | Epoch: 79 | Loss: 0.036 | Acc: 98.921
Test | Epoch: 79 | Loss: 4.369 | Acc: 51.327
Train | Epoch: 80 | Loss: 0.020 | Acc: 99.447
Test | Epoch: 80 | Loss: 4.334 | Acc: 51.668
Train | Epoch: 81 | Loss: 0.016 | Acc: 99.597
Test | Epoch: 81 | Loss: 4.355 | Acc: 51.484
Train | Epoch: 82 | Loss: 0.013 | Acc: 99.679
Test | Epoch: 82 | Loss: 4.345 | Acc: 51.852
Train | Epoch: 83 | Loss: 0.011 | Acc: 99.734
Test | Epoch: 83 | Loss: 4.443 | Acc: 51.589
Train | Epoch: 84 | Loss: 0.010 | Acc: 99.773
Test | Epoch: 84 | Loss: 4.371 | Acc: 51.904
Train | Epoch: 85 | Loss: 0.009 | Acc: 99.787
Test | Epoch: 85 | Loss: 4.452 | Acc: 52.141
Train | Epoch: 86 | Loss: 0.008 | Acc: 99.811
Test | Epoch: 86 | Loss: 4.495 | Acc: 52.062
Train | Epoch: 87 | Loss: 0.007 | Acc: 99.845
Test | Epoch: 87 | Loss: 4.509 | Acc: 51.983
Train | Epoch: 88 | Loss: 0.007 | Acc: 99.837
Test | Epoch: 88 | Loss: 4.548 | Acc: 51.983
Train | Epoch: 89 | Loss: 0.007 | Acc: 99.842
Test | Epoch: 89 | Loss: 4.599 | Acc: 51.983
Train | Epoch: 90 | Loss: 0.006 | Acc: 99.855
Test | Epoch: 90 | Loss: 4.609 | Acc: 52.640
Train | Epoch: 91 | Loss: 0.006 | Acc: 99.859
Test | Epoch: 91 | Loss: 4.599 | Acc: 52.036
Train | Epoch: 92 | Loss: 0.006 | Acc: 99.856
Test | Epoch: 92 | Loss: 4.609 | Acc: 52.088
Train | Epoch: 93 | Loss: 0.005 | Acc: 99.874
Test | Epoch: 93 | Loss: 4.653 | Acc: 51.799
Train | Epoch: 94 | Loss: 0.005 | Acc: 99.875
Test | Epoch: 94 | Loss: 4.722 | Acc: 52.009
Train | Epoch: 95 | Loss: 0.005 | Acc: 99.887
Test | Epoch: 95 | Loss: 4.678 | Acc: 52.456
Train | Epoch: 96 | Loss: 0.005 | Acc: 99.896
Test | Epoch: 96 | Loss: 4.646 | Acc: 52.456
Train | Epoch: 97 | Loss: 0.005 | Acc: 99.886
Test | Epoch: 97 | Loss: 4.713 | Acc: 52.272
Train | Epoch: 98 | Loss: 0.004 | Acc: 99.886
Test | Epoch: 98 | Loss: 4.676 | Acc: 52.614
Train | Epoch: 99 | Loss: 0.004 | Acc: 99.899
Test | Epoch: 99 | Loss: 4.703 | Acc: 52.482
Best Accuracy:  52.640
Train | Epoch: 0 | Loss: 4.878 | Acc: 3.603
Test | Epoch: 0 | Loss: 4.910 | Acc: 8.260
Train | Epoch: 1 | Loss: 4.000 | Acc: 13.139
Test | Epoch: 1 | Loss: 4.001 | Acc: 16.640
Train | Epoch: 0 | Loss: 4.819 | Acc: 4.081
Test | Epoch: 0 | Loss: 4.389 | Acc: 8.300
Train | Epoch: 1 | Loss: 4.011 | Acc: 12.870
Test | Epoch: 1 | Loss: 4.170 | Acc: 16.220
Train | Epoch: 2 | Loss: 3.569 | Acc: 19.943
Test | Epoch: 2 | Loss: 3.459 | Acc: 23.340
Train | Epoch: 3 | Loss: 3.220 | Acc: 26.346
Test | Epoch: 3 | Loss: 3.183 | Acc: 27.460
Train | Epoch: 4 | Loss: 2.947 | Acc: 31.332
Test | Epoch: 4 | Loss: 2.946 | Acc: 32.640
Train | Epoch: 5 | Loss: 2.769 | Acc: 34.624
Test | Epoch: 5 | Loss: 2.813 | Acc: 35.200
Train | Epoch: 6 | Loss: 2.563 | Acc: 38.739
Test | Epoch: 6 | Loss: 2.657 | Acc: 38.680
Train | Epoch: 7 | Loss: 2.394 | Acc: 41.866
Test | Epoch: 7 | Loss: 2.571 | Acc: 39.780
Train | Epoch: 8 | Loss: 2.261 | Acc: 44.839
Test | Epoch: 8 | Loss: 2.493 | Acc: 41.540
Train | Epoch: 9 | Loss: 2.145 | Acc: 46.883
Test | Epoch: 9 | Loss: 2.766 | Acc: 41.860
Train | Epoch: 10 | Loss: 2.009 | Acc: 49.804
Test | Epoch: 10 | Loss: 2.403 | Acc: 43.600
Train | Epoch: 11 | Loss: 1.868 | Acc: 52.797
Test | Epoch: 11 | Loss: 2.402 | Acc: 44.380
Train | Epoch: 12 | Loss: 1.807 | Acc: 54.077
Test | Epoch: 12 | Loss: 2.425 | Acc: 44.500
Train | Epoch: 13 | Loss: 1.689 | Acc: 56.422
